"","rent","size","lift","balcony","terrace","is_house","slope","highway","rail_stati","sun_eve","X","Y"
"1",2236,110,0,0,0,0,0.025161,0,2.076,271.39,678669,251921
"2",1240,49,0,0,0,0,0.005674,0,1.621,241.03,685440,251560
"3",1490,90,0,0,0,0,0.03932,0,0.479,320.54,690550,263664
"4",1350,77,0,0,0,0,0.0107,0,0.407,226.46,701294,247131
"5",794,25,0,0,0,0,0.023873,0,0.192,207.2,683575,252520
"6",1104,72,0,0,0,0,0.006404,0,0.601,225.17,681212,258737
"7",1450,71,0,0,0,0,0.060626,0,0.605,55.68,681505,242278
"8",2070,115,0,0,0,0,0.016386,0,1.79,248.16,677272,256135
"9",2920,141,0,0,0,0,0.053511,0,1.089,132.61,683078,242814
"10",3800,84,0,0,0,0,0.004501,0,0.241,191.6,682685,246655
"11",2290,85,1,1,0,0,0.085326,0,2.655,389.88,672191,253812
"12",2840,135,0,0,0,0,0.084992,0,0.788,126.89,688336,234734
"13",2910,150,1,0,1,0,0.01628,0,0.711,268.93,704004,243402
"14",1390,72,0,0,0,0,0.038181,0,2.254,172.64,690066,245686
"15",1390,58,0,0,0,0,0.056158,0,1.554,372.48,676185,247595
"16",2185,104,0,0,0,0,0.066936,0,3.005,333.41,684688,259203
"17",1350,73,0,0,0,0,0.103139,0,0.982,76.62,671649,250491
"18",2290,101,0,0,0,0,0.066175,0,0.507,384.27,697601,233075
"19",1320,67,0,0,0,0,0.008305,0,0.46,239.5,679395,249050
"20",1940,138,0,0,0,0,0.051935,0,0.791,299.1,694991,247328
"21",1570,73,0,0,0,0,0.003245,0,0.592,242,689448,251190
"22",2400,141,0,0,0,0,0.01946,0,1.87,234.82,700632,234360
"23",1620,98,0,0,0,0,0.074415,0,1.731,302.07,676928,256395
"24",3400,155,0,0,0,0,0.079685,0,1.18,455.82,685030,247140
"25",1281,60,0,0,0,0,0.049917,0,0.62,285.85,687599,252159
"26",900,23,0,0,0,0,0.049355,0,1.166,328,685065,246755
"27",1312,66,0,0,0,0,0.015183,0,0.505,264.4,678857,259570
"28",1700,73,0,0,0,0,0.01027,0,0.807,225.13,675521,244902
"29",1300,42,0,0,0,0,0.012171,0,0.455,301.19,683485,247745
"30",2500,83,0,0,0,0,0.009938,0,0.893,261,684315,245750
"31",900,29,0,0,0,0,0.068037,0,1.111,133.89,685650,245715
"32",1834,65,0,0,0,0,0.078519,0,2.185,268.97,673245,253158
"33",1956,90,0,0,0,0,0.012801,0,0.764,214.07,692680,249398
"34",2650,140,1,1,0,0,0.03054,0,0.621,305.38,677503,233642
"35",2750,119,1,0,0,0,0.009492,0,0.345,169.16,694431,240102
"36",1530,89,0,1,0,0,0.006058,0,1.711,245.24,685205,252165
"37",1310,59,0,0,0,0,0.037442,0,0.583,162.38,685072,254249
"38",1670,97,0,0,0,0,0.011286,0,0.382,253.82,693834,247408
"39",1120,55,0,0,0,0,0.011797,0,0.705,268.64,674564,249704
"40",1290,60,0,0,0,0,0.015551,0,0.85,233.91,683755,253590
"41",1345,62,0,0,0,0,0.002998,0,0.673,242,681307,258743
"42",2227,140,0,0,0,0,0.04816,0,1.014,137.84,687072,256759
"43",1490,90,0,0,0,0,0.024769,0,0.524,257.99,690499,263654
"44",1390,64,1,0,0,0,0.013918,0,0.715,271.83,674559,249717
"45",1685,101,0,1,0,0,0.051668,1,1.736,329.97,673177,252714
"46",2340,150,0,1,0,0,0.022213,0,1.567,181.52,681151,264063
"47",2650,75,0,1,0,0,0.034054,0,0.193,295.48,682490,249665
"48",3900,180,0,0,0,0,0.075819,0,0.634,99.34,682135,245760
"49",1856,86,1,1,0,0,0.07597,0,0.66,95.95,676606,259071
"50",1489,70,1,1,0,0,0.019696,0,0.681,176.26,676784,258954
"51",1670,85,1,1,0,0,0.01609,0,0.812,204.29,689163,253610
"52",1772,92,0,0,0,0,0.004342,0,0.454,238.81,691657,248999
"53",2400,134,1,1,0,0,0.03054,0,0.621,305.38,677503,233642
"54",2200,140,1,0,0,0,0.03054,0,0.621,305.38,677503,233642
"55",1310,59,0,1,0,0,0.038451,0,1.245,269.1,683265,253845
"56",2240,98,0,0,0,0,0.02885,0,1.915,326.73,694101,251588
"57",2020,114,0,0,0,0,0.0433,0,1.255,265.28,677923,240951
